Date,Disease,Frequency,Average Age,StdDev Age,Subdistrict
2015-01-06,J18.0,1,10.0,0.0,5
2015-01-12,J18.0,1,6.0,0.0,5
2015-01-19,J18.0,1,1.0,0.0,4
2015-01-23,J18.0,1,3.0,0.0,2
2015-01-26,J18.0,1,56.0,0.0,3
2015-01-28,J18.0,1,1.0,0.0,3
2015-02-01,J18.0,2,51.5,8.5,4
2015-02-03,J18.0,1,4.0,0.0,7
2015-02-05,J18.0,1,32.0,0.0,4
2015-02-06,J18.0,3,19.333333333333332,23.809428571238097,4
2015-02-12,J18.0,1,32.0,0.0,3
2015-02-19,J18.0,1,0.0,0.0,1
2015-02-21,J18.0,2,15.5,14.5,4
2015-02-27,J18.0,1,1.0,0.0,2
2015-03-06,J18.0,1,28.0,0.0,7
2015-03-11,J18.0,1,58.0,0.0,7
2015-03-17,J18.0,1,15.0,0.0,3
2015-03-20,J18.0,5,35.4,10.594338110519223,2
2015-03-23,J18.0,1,30.0,0.0,2
2015-03-27,J18.0,2,43.5,12.5,4
2015-03-28,J18.0,1,3.0,0.0,4
2015-03-31,J18.0,1,2.0,0.0,2
2015-04-01,J18.0,1,1.0,0.0,5
2015-04-04,J18.0,2,0.5,0.5,3
2015-04-07,J18.0,1,13.0,0.0,4
2015-04-10,J18.0,1,7.0,0.0,4
2015-04-13,J18.0,1,62.0,0.0,2
2015-04-15,J18.0,1,4.0,0.0,3
2015-04-16,J18.0,1,1.0,0.0,3
2015-04-19,J18.0,1,1.0,0.0,4
2015-04-20,J18.0,1,64.0,0.0,2
2015-04-24,J18.0,1,39.0,0.0,7
2015-04-26,J18.0,1,2.0,0.0,6
2015-04-29,J18.0,1,72.0,0.0,5
2015-04-30,J18.0,1,53.0,0.0,2
2015-05-08,J18.0,1,1.0,0.0,4
2015-05-11,J18.0,1,1.0,0.0,4
2015-05-12,J18.0,2,6.5,4.5,2
2015-05-13,J18.0,2,1.0,0.0,4
2015-05-14,J18.0,1,2.0,0.0,4
2015-05-17,J18.0,2,30.5,27.5,4
2015-05-18,J18.0,1,35.0,0.0,5
2015-05-22,J18.0,1,3.0,0.0,4
2015-05-24,J18.0,1,7.0,0.0,2
2015-05-25,J18.0,3,3.0,1.632993161855452,4
2015-06-01,J18.0,1,50.0,0.0,4
2015-06-10,J18.0,1,54.0,0.0,3
2015-06-13,J18.0,1,61.0,0.0,4
2015-06-18,J18.0,1,2.0,0.0,2
2015-06-19,J18.0,1,56.0,0.0,1
2015-06-21,J18.0,1,1.0,0.0,3
2015-06-22,J18.0,2,39.0,2.0,7
2015-06-23,J18.0,2,40.5,4.5,4
2015-06-27,J18.0,1,1.0,0.0,6
2015-06-28,J18.0,1,1.0,0.0,6
2015-07-02,J18.0,1,1.0,0.0,7
2015-07-05,J18.0,1,58.0,0.0,2
2015-07-10,J18.0,1,38.0,0.0,4
2015-07-13,J18.0,1,2.0,0.0,3
2015-07-22,J18.0,1,1.0,0.0,3
2015-07-31,J18.0,1,6.0,0.0,2
2015-08-10,J18.0,1,51.0,0.0,5
2015-08-15,J18.0,1,1.0,0.0,4
2015-08-16,J18.0,1,59.0,0.0,3
2015-08-17,J18.0,1,6.0,0.0,4
2015-08-20,J18.0,1,3.0,0.0,1
2015-08-24,J18.0,1,4.0,0.0,2
2015-09-03,J18.0,1,6.0,0.0,4
2015-09-04,J18.0,1,0.0,0.0,6
2015-09-10,J18.0,1,1.0,0.0,3
2015-09-17,J18.0,1,1.0,0.0,1
2015-09-19,J18.0,1,5.0,0.0,5
2015-09-27,J18.0,1,25.0,0.0,3
2015-09-30,J18.0,1,26.0,0.0,2
2015-10-04,J18.0,2,1.5,1.5,3
2015-10-06,J18.0,1,45.0,0.0,4
2015-10-13,J18.0,1,4.0,0.0,4
2015-10-16,J18.0,1,31.0,0.0,5
2015-10-28,J18.0,2,1.0,0.0,2
2015-10-29,J18.0,1,2.0,0.0,1
2015-10-31,J18.0,1,1.0,0.0,2
2015-11-06,J18.0,1,2.0,0.0,5
2015-11-08,J18.0,1,4.0,0.0,4
2015-11-11,J18.0,1,28.0,0.0,5
2015-11-15,J18.0,1,12.0,0.0,4
2015-11-18,J18.0,1,1.0,0.0,3
2015-11-20,J18.0,1,3.0,0.0,5
2015-11-27,J18.0,2,10.0,4.0,2
2015-12-01,J18.0,2,1.0,0.0,2
2015-12-02,J18.0,1,0.0,0.0,5
2015-12-07,J18.0,1,1.0,0.0,6
2015-12-13,J18.0,2,37.0,33.0,4
2015-12-15,J18.0,1,2.0,0.0,3
2015-12-16,J18.0,1,1.0,0.0,5
2015-12-26,J18.0,2,0.5,0.5,4
2015-12-27,J18.0,1,2.0,0.0,7
2015-12-28,J18.0,1,33.0,0.0,3
2015-12-31,J18.0,1,2.0,0.0,5
2016-01-04,J18.0,2,29.0,0.0,5
2016-01-10,J18.0,1,63.0,0.0,4
2016-01-13,J18.0,1,3.0,0.0,4
2016-01-14,J18.0,1,9.0,0.0,7
2016-01-15,J18.0,1,1.0,0.0,5
2016-01-16,J18.0,3,5.0,3.559026084010437,2
2016-01-17,J18.0,1,6.0,0.0,7
2016-01-19,J18.0,1,52.0,0.0,4
2016-01-22,J18.0,1,41.0,0.0,7
2016-01-27,J18.0,1,4.0,0.0,3
2016-01-28,J18.0,1,5.0,0.0,6
2016-01-29,J18.0,2,2.0,1.0,6
2016-02-06,J18.0,1,28.0,0.0,2
2016-02-10,J18.0,1,5.0,0.0,7
2016-02-11,J18.0,2,16.5,12.5,3
2016-02-15,J18.0,2,33.5,1.5,3
2016-02-17,J18.0,2,30.5,26.5,3
2016-02-22,J18.0,1,1.0,0.0,6
2016-02-23,J18.0,2,59.5,8.5,3
2016-02-24,J18.0,1,5.0,0.0,1
2016-02-25,J18.0,1,1.0,0.0,2
2016-02-28,J18.0,2,17.5,16.5,4
2016-02-29,J18.0,1,2.0,0.0,5
2016-03-01,J18.0,1,3.0,0.0,6
2016-03-03,J18.0,1,87.0,0.0,4
2016-03-06,J18.0,1,1.0,0.0,4
2016-03-07,J18.0,1,71.0,0.0,1
2016-03-08,J18.0,1,58.0,0.0,3
2016-03-10,J18.0,1,1.0,0.0,6
2016-03-12,J18.0,1,1.0,0.0,4
2016-03-20,J18.0,1,8.0,0.0,5
2016-03-24,J18.0,1,1.0,0.0,4
